	kor	eng
0	뭔가 해보자!	Let's try something.
1	자야 합니다.	I have to go to sleep.
2	뭐해?	What are you doing?
3	그것은 무엇입니까?	What is it?
4	"오늘은 6월 18일	 Muiriel의 생일입니다!"	Today is June 18th and it is Muiriel's birthday!
5	생일 축하해 Muiriel!	"Happy birthday	 Muiriel!"
6	Muiriel은 지금 20살입니다.	Muiriel is 20 now.
7	"비밀번호는 ""Muiriel"" 입니다."	"The password is ""Muiriel""."
8	곧 돌아올께요.	I will be back soon.
9	모르겠어요.	I don't know.
10	이건 절대 끝나지 않을거야.	This is never going to end.
11	뭐라고 말해야 할지 정말 모르겠어...	I just don't know what to say.
12	나는 산에 있었어.	I was in the mountains.
13	이 사진 최근 거에요?	Is it a recent picture?
14	시간 있는지 잘 모르겠어요.	I don't know if I have the time.
15	이 세상의 교육이 나를 실망시켜요.	Education in this world disappoints me.
16	저는 하루에 100유로를 법니다.	I make €100 a day.
17	왜냐하면 당신은 혼자가 되고 싶지 않기 때문이에요.	It's because you don't want to be alone.
18	보고 싶어.	I miss you.
19	당신 좀 자야겠어요.	You should sleep.
20	나는 갈 거에요.	I'm going to go.
21	유감스럽게도 사실이네요.	It is unfortunately true.
22	정말이에요?	Are you sure?
23	정말이에요?	Really?
24	일어났을 때 슬펐어.	"When I woke up	 I was sad."
25	혼자인 사람은 다른 사람들을 두려워하기 때문에 혼자다.	Every person who is alone is alone because they are afraid of others.
26	일본에 갈 수 있었으면 좋겠어요.	I wish I could go to Japan.
27	사람 많은 게 싫어요.	I hate it when there are a lot of people.
28	자야겠어요.	I have to go to bed.
29	오늘은 더 이상 물어보지 않겠어요.	I won't ask you anything else today.
30	"그가 사과를 했음에도 불구하고	 난 아직 화가 나 있어요."	"Even though he apologized	 I'm still furious."
31	아는분이 없을겁니다.	No one will know.
32	해결책을 찾았지만 너무 빨리 찾아서 맞는 답이 아닌거 같습니다.	"I found a solution	 but I found it so fast that it can't be the right solution."
33	무엇이 문제입니까?	Where is the problem?
34	무엇이 문제입니까?	What is the problem?
35	더이상 어떻게 해야할지 모르겠어.	I don't know what to do anymore.
36	"나는 언젠가는 프랑스에 꼭 가야되는데	 그게 언제인지는 모르겠어."	"It is inevitable that I go to France someday	 I just don't know when."
37	아무나 할 수 있는 것이 아닙니다.	It's not something anyone can do.
38	"모두가 너를 만나고 싶어해	 너 유명하네!"	Everyone wants to meet you. You're famous!
39	왜 안되는지 설명할려면 시간 너무 많이 걸리겠다.	It would take me too much time to explain to you why it's not going to work.
40	"작고 흰 토끼는 ""무슨 일 있니?"" 라고 물어봤습니다."	What's the matter? asked the little white rabbit.
41	히로시는 이것 재미 있을 것 같다고 말한다.	"This looks pretty interesting	 Hiroshi says."
42	우리가 가든지 안 가든지는 네가 결정해.	It is up to you to decide whether we will go there or not.
43	저는 남은 인생을 그것에 대해 후회하면서 지내고 싶지 않아요.	I don't want to spend the rest of my life regretting it.
44	나는 꿈이 있어.	I have a dream.
45	"놀라워 하고	 궁금해 하는 것이 이해의 시작이다."	"To be surprised	 to wonder	 is to begin to understand."
46	그러나 우주는 무한하다.	But the universe is infinite.
47	한가지만 빼면 그녀는 완벽해요.	To be perfect she lacked just one defect.
48	"그러나	 그 반대도 또한 항상 진실이다."	"And yet	 the contrary is always true as well."
49	"그 모습 그대로 사물을 보지 않고	 우리 자신의 모습으로 그것을 바라본다."	"We don't see things as they are	 but as we are."
50	이 세상은 미치광이들의 소굴이다	The world is a den of crazies.
51	너 멍청하게 보여.	You look stupid.
52	"난 쇼핑 가야되요	 한 시간 안에 돌아올게요."	I have to go shopping. I'll be back in an hour.
53	이탈리아는 아주 아름다운 나라입니다.	Italy is a very beautiful country.
54	바라는 것이 없으면 부족함이 없다.	Not wanting is the same as having.
55	당신이 내일 아침에 일어나서 우주가 사라졌다는 것을 알게 된다면 수학은 당신이 계속해서 연구할 수 있는 과학의 한 부분입니다.	Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.
56	나 머리 아파.	I have a headache.
57	과거는 되돌릴 수 없습니다. 미래는 알 수 없는 것이지만 바꿀 수 있는 것입니다.	"The past can only be known	 not changed. The future can only be changed	 not known."
58	"다른 할 말이 없으면	 나한테 인사할 필요가 없어."	"There's no point saying ""Hi	 how are you?"" to me if you have nothing else to say."
59	이러한 사전에는 냉장고에 대한 적어도 두가지의 예문이 있어야 한다.	"In a dictionary like this one there should be at least two sentences with ""fridge""."
60	"안녕	 톰."	"Hello	 Tom."
61	내 안경은 어디 있어요?	Where are my glasses?
62	자리 있어요?	Are seats available?
63	넌 가야 해요.	You have to go.
64	안녕하세요. 난시입니다.	"Hello	 I am Nancy."
65	저희 행복해요.	We are happy.
66	저는 항상 바빠요.	I'm busy all the time.
67	효고 대학생입니다.	I am a student at Hyogo University.
68	사랑해요.	I love you.
